brand,name,year,shape,weight_g,balance,core,surface,price_zar,price_high_zar,cheapest_store,stores_count,stores,level,best_for,in_stock,url,description
Adidas,2025 Adidas Metalbone Hrd+ 3.4,2025,diamond,360,,EVA,carbon,4995,4995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-hrd-3-4,"The 2025 Adidas Metalbone HRD+ 3.4, designed for aggressive play, is a true powerhouse in the world of padel. Crafted with premium materials, its high rigidity ensures optimal performance with every shot. Featuring cutting-edge technologies like Power Extra Grip, Low Poly, and Power Groove, this racket is built to deliver explosive power and precision. The Weight & Balance System adds enhanced ine"
Adidas,2025 Adidas Metalbone Team 3.4,2025,diamond,,,soft EVA,fibreglass,2995,2995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2025-adidas-metalbone-team-3-4,"The 2025 Adidas Metalbone Team 3.4 is a diamond-shaped padel racket designed for players seeking power and control. Equipped with Power Extra Grip and Low Poly polyhedral design, it enhances shot stiffness and strike inertia. Its Octagonal Structure frame ensures stability, minimizing torsion for consistent, powerful hits. The combination of fiberglass and EVA Soft Performance rubber delivers a we"
Adidas,2026 Adidas Arrow Hit Carbon,2026,,,,,carbon,5995,5995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-arrow-hit-carbon,
Adidas,2026 Adidas Arrow Hit Carbon CTRL,2026,,,,,carbon,5995,5995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-arrow-hit-carbon-ctrl,
Adidas,2026 Adidas Arrow Hit CTRL,2026,,,,,,7495,7495,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-arrow-hit-ctrl,
Adidas,2026 Adidas Arrow Hit Hexagon Cup - Limited Edition,2026,diamond,,,soft EVA,carbon,5995,5995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-arrow-hit-hexagon-cup-limited-edition,"The adidas Metalbone Pro Edt 2025 is a limited-edition racket developed in collaboration with Ale Galán. From Madrid to the world, Ale has redefined what it means to compete with character, intelligence, and power. This racket draws inspiration from Mercury’s energy: fast, unpredictable, precise. It’s made for those who play on the edge, without compromise. The Metalbone PRO-EDT 2025 is a power ra"
Adidas,2026 Adidas Arrow Hit PRO EDT - Limited Edition | Ari Sánchez,2026,,,,,,9295,9295,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-arrow-hit-pro-edt-limited-edition-ari-sanchez,
Adidas,2026 Adidas Cross IT Carbon,2026,,,,,carbon,5995,5995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-cross-it-carbon,
Adidas,2026 Adidas Cross IT Carbon CTRL,2026,,,,,carbon,5995,5995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-cross-it-carbon-ctrl,
Adidas,2026 Adidas Cross IT CTRL,2026,,,,,,7495,7495,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-cross-it-ctrl,
Adidas,2026 Adidas Cross IT Light,2026,round,,,,,6495,6495,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-cross-it-light,"The Adidas Cross It Light 2026 is a padel racket designed for players seeking a perfect balance between power and control with every shot. Its advanced lightness and round shape with a centered sweet spot ensure maneuverability and precision, ideal for those who master technique and rhythm on the court. This model, which stands out for its innovative dynamic air flow system, is intended for profes"
Adidas,2026 Adidas Cross It PRO EDT - Limited Edition | Martita Ortega,2026,,,,,,7495,7495,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-cross-it-pro-edt-limited-edition-martita-ortega,
Adidas,2026 Adidas Cross IT Team CTRL,2026,,,,,,3995,3995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2026-adidas-cross-it-team-ctrl,
Adidas,2026 Adidas Cross IT Team Light,2026,round,345,low,,fibreglass,3299,3299,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/2026-adidas-cross-it-team-light/,"2026 Adidas Cross IT Team Light The Adidas Cross It Team Light 2026 is a lightweight control-focused padel racket designed for intermediate players seeking comfort, precision, and easy maneuverability on the court. Engineered with a round shape and low balance, this racket offers excellent control and stability, making it ideal for players who prioritize accurate shot placement and consistent perf"
Adidas,2026 Adidas Drive Black,2026,,,,,,1995,1995,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2026-adidas-drive-black,
Adidas,2026 Adidas Drive Blue,2026,,,,,,1995,1995,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2026-adidas-drive-blue,
Adidas,2026 Adidas Drive Light,2026,,,,,,1995,1995,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2026-adidas-drive-light,
Adidas,2026 Adidas Match (Black/Orange),2026,,,,,,1995,1995,PadelDeals,1,PadelDeals,beginner,,yes,https://padeldeals.co.za/products/2026-adidas-match-light-copy,
Adidas,2026 Adidas Metalbone,2026,diamond,,,,,6995,6995,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone,"The new Adidas Metalbone 2026, the padel racket designed for players seeking explosive performance and total dominance on the court. Its innovative structure and advanced technologies offer a perfect blend of power and control, ideal for those demanding an aggressive and sophisticated game. Designed for the professional male player who sets the pace, this top-category padel racket adapts to offens"
Adidas,2026 Adidas Metalbone Carbon,2026,,,,,carbon,4995,4995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-carbon,
Adidas,2026 Adidas Metalbone Carbon CTRL,2026,,,,,carbon,4995,4995,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-carbon-ctrl,"Adidas Metalbone Carbon Control 2026, is a padel racket designed for players seeking maximum control without sacrificing measured and effective power. Perfect for men with advanced skill levels, this racket offers a unique balance that promotes a tactical and precise playing style, ideal for dominating each point from defense and strategic attack. The combination of advanced technology and premium"
Adidas,2026 Adidas Metalbone CTRL,2026,round,,,soft EVA,,6995,6995,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-ctrl,"The Adidas Metalbone Control 2026 is a padel racket designed for players seeking a perfect balance between power and control. Its round shape and centered sweet spot make it the ideal option for those who dominate the game with technique and anticipation, without giving up the characteristic strength of the Metalbone family. Perfect for athletes who value the precision and soft touch provided by i"
Adidas,2026 Adidas Metalbone HRD+,2026,diamond,,high,EVA,carbon,6995,6995,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-hrd,"For players who crave maximum power, the Adidas Metalbone HRD+ 2026 is the ultimate high-rigidity weapon built for domination. Co-developed with Ale Galán, this elite model delivers an exceptionally firm, explosive feel—perfect for professional and aggressive players who finish points with authority. Its diamond shape, high balance and ultra-stiff construction give you devastating power on every s"
Adidas,2026 Adidas Metalbone PRO EDT - Limited Edition | Ale Galan,2026,,,,,,8995,8995,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-pro-edt-limited-edition-ale-galan,
Adidas,2026 Adidas Metalbone Reserve,2026,,,,,,6895,6895,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-reserve,
Adidas,2026 Adidas Metalbone Superlight,2026,,,,,,2795,2795,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2026-adidas-metalbone-superlight,For players who are just starting to discover the sport and are looking for a very lightweight racket to ease their learning and handling.
Adidas,2026 Adidas Metalbone Team,2026,,,,,,4495,4495,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2026-metalbone-team,
Adidas,2026 Adidas RX Series,2026,,,,,,2995,2995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2026-adidas-rx-series,
Adidas,2x 2024 Adidas RX Series Light,2024,,,,,,3495,3495,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2x-2024-adidas-rx-series-light,
Adidas,2x 2025 Adidas Drive Black 3.4,2025,,,,,,2795,2795,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2x-2025-adidas-drive-black-3-4,
Adidas,2x 2025 Adidas Drive Grey 3.4,2025,,,,,,2795,2795,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2x-2025-adidas-drive-grey-3-4,
Adidas,2x 2025 Adidas Match Black 3.4,2025,,,,,,2995,2995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2x-2025-adidas-match-black-3-4,
Adidas,2x 2025 Adidas Match Blue 3.4,2025,,,,,,2795,2795,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2x-2025-adidas-match-blue-3-4,
Adidas,2x 2025 Adidas Metalbone Carbon 3.4,2025,,,,,carbon,7695,7695,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2x-2025-adidas-metalbone-carbon-3-4,
Adidas,2x 2025 Adidas Metalbone Carbon CTRL 3.4,2025,,,,,carbon,7695,7695,PadelDeals,1,PadelDeals,advanced,,yes,https://padeldeals.co.za/products/2x-2025-adidas-metalbone-carbon-ctrl-3-4,
Adidas,2x 2025 Adidas Metalbone Team 3.4,2025,,,,,,5795,5795,PadelDeals,1,PadelDeals,intermediate,,yes,https://padeldeals.co.za/products/2x-2025-adidas-metalbone-team-3-4,
Adidas,2x Adidas Drive Light 3.4,,,,,,,2995,2995,PadelDeals,1,PadelDeals,improver,,yes,https://padeldeals.co.za/products/2x-adidas-drive-light-3-4,
Adidas,Adidas Adipower Carbon Control 3.4 Padel Racket,,round,,,EVA,18K carbon,3299,3299,PadelZone,1,PadelZone,improver,,yes,https://padelzone.co.za/products/adidas-adipower-carbon-control-3-4-padel-racket,"Offerring the perfect balance between control and Adipower, the Carbon Control 3.4 is a high-performance Padel Racket designed for the most demanding players. As the name suggests when it comes to control this racket is unmatched as it has been built with an 18k carbon fiber face together with the Adidas soft performance EVA core, giving the racket its durability, feel and control. All for Padel, "
Adidas,adidas Adipower Carbon CTRL,,,,,,18K carbon,4199,4199,Virgin Active Padel Club,1,Virgin Active Padel Club,improver,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-carbon-ctrl,"The Adipower Carbon CTRL is a model that harnesses all Adipower technologies to enhance control. The Spin Blade Mold and Smart Holes Curve technologies provide an unparalleled feel for spin shots. The carbon reinforcements in the Dual Exoskeleton and the Power Embossed Ridge in key areas of the racquet enhance rigidity, ensuring performance in powerful strikes. The 18K carbon fibre guarantees clea"
Adidas,adidas Adipower Carbon Light,,,,,,carbon,4199,4199,Virgin Active Padel Club,1,Virgin Active Padel Club,improver,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-carbon-light,"The Adipower Carbon Light is a racquet that combines the best technologies with a more agile grip, thanks to its lightweight design. The Dual Exoskeleton, featuring carbon reinforcements, and the Power Embossed Ridge in the frame enhance its rigidity for improved aggressive play. Additionally, the arrangement of the Smart Holes Curve and the 3D Spin Blade Mold texture provide optimal spin on all s"
Adidas,Adidas Adipower Carbon Light 3.4 | 2025,2025,round,,,soft EVA,3K carbon,3799,3799,World of Padel,1,World of Padel,improver,,yes,https://worldofpadel.co.za/product/adidas-adipower-carbon-light-3-4-2025/,"Adidas Adipower Carbon Light 3.4 | 2025 The Adipower Carbon Light boasts a lightweight Round-shaped design that utilises cutting-edge technologies to enhance your game. With the Dual Exoskeleton and Power Embossed Ridge providing supreme rigidity through the use of carbon ribs in the core and frame, every shot packs a powerful punch. This racket also features two standout features: the 3D Spin Bla"
Adidas,Adidas Adipower Ctrl 3.3,,,360,,soft EVA,3K carbon,2899,2999,World of Padel,3,Africa Padel | Virgin Active Padel Club | World of Padel,improver,,yes,https://worldofpadel.co.za/product/adidas-adipower-ctrl-3-3/,"Adidas Adipower Ctrl 3.3 Unlock precision and control with the Adipower CTRL 3.3 Padel Racket , a pro-level racket that strikes the perfect balance between flexibility and rigidity . Designed for advanced players, this racket offers unmatched handling and skillful precision, helping you take your game to the next level. The Dual Exoskeleton enhances the rigidity of the racket’s core, while the Pow"
Adidas,adidas Adipower CTRL Multiweight  PRO EDT 2025,2025,round,,,EVA,18K carbon,8074,8074,Virgin Active Padel Club,1,Virgin Active Padel Club,advanced,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-ctrl-multiweight-pro-edt-2025,"The Adidas Adipower CTRL MTW Pro Edt 2025 doesn’t need to raise its voice: it imposes with elegance. It’s a reflection of those who play in silence but leave a lasting impact with every shot. Its round shape, with weight centered near the grip, provides superior control in defense. The combination of 18K carbo n and EVA High Memory rubber offers the perfect balance of firmness and sensitivity—idea"
Adidas,adidas Adipower CTRL Multiweight 3.3,,,,,EVA,18K carbon,4249,4249,Virgin Active Padel Club,1,Virgin Active Padel Club,improver,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-ctrl-multiweight-3-3,"The Adipower Multiweight CTRL 3.3 marks a milestone in padel with its innovative technology designed for decisive players like Álex Ruiz. It incorporates the Weight & Balance System, allowing you to adjust the weight and balance to adapt to a control or attack style. The Dual Exoskeleton technology provides a double insertion of carbon ribs in the heart, while the Power Embossed Ridge reinforces t"
Adidas,adidas Adipower CTRL Multiweight 3.4,,,,,,carbon,5949,5949,Virgin Active Padel Club,1,Virgin Active Padel Club,intermediate,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-ctrl-multiweight-3-4,"The Adipower CTRL Multiweight is Álex Ruiz's racquet, meticulously designed to achieve perfection in every detail. The Weight & Balance System allows for customisation of weight and balance according to the demands of each match. The Dual Exoskeleton structure, the carbon Power Embossed Ridge in the frame, and its materials ensure the necessary rigidity to excel in aggressive play. Spin shots reac"
Adidas,adidas Adipower Junior 3.3,,,,,soft EVA,carbon,999,999,Virgin Active Padel Club,1,Virgin Active Padel Club,beginner,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-junior-3-3,"Start to experience what it means to win with the Adipower Junior! This racket is designed to be the perfect extension of the arms of girls and boys who want to grow on the padel court. The Exoskeleton technology reinforces the heart of the racket with carbon fiber, improving durability and increasing rigidity for more powerful shots. Its composition of Eva Soft Performance and Fiber Glass provide"
Adidas,Adidas Adipower Junior 3.4,,round,,,soft EVA,carbon,1399,1799,Virgin Active Padel Club,3,PadelZone | Virgin Active Padel Club | World of Padel,beginner,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-junior-3-4,"The Adipower Junior 3.4 is brought to you by Adidas specifically for our young Padel enthusiasts. Designed to be lightweight and extremely maneuverable while having ample power for those ling shots from the back of the court. This all means our juniors can have the right Padel Racket designed for them to have maximum enjoyment during their game. All for Padel, the official licensed Adidas Padel Te"
Adidas,Adidas Adipower Legend 2024 Padel Racket – Limited Edition,2024,diamond,370,high,EVA,carbon,3699,3699,The Padel Market,1,The Padel Market,improver,,yes,https://thepadelmarket.co.za/products/adidas-padel-racket-adipower-legend-limited-edition-2024,Adidas Adipower Legend 2024 - Limited Edition. diamond power racket from The Padel Market. The Padel Market Playing Profile Diamond · Power · Advanced Power Very high Control Low Comfort Low Manoeuvrability Medium Shape Diamond Weight 370g Face Carbon Fibre Core EVA High Balance High Level Advanced Description The Adidas Adipower Legend 2024 is a diamond-shaped power racket from the iconic Adidas 
Adidas,adidas Adipower Legend 3.3,,diamond,,,soft EVA,3K carbon,3449,3449,Virgin Active Padel Club,1,Virgin Active Padel Club,improver,,no,https://virginactivepadelclub.co.za/products/adidas-adipower-legend-3-3,ADIPOWER LEGEND With experience comes knowledge. And that degree of knowledge is why the new Adipower Legend by Seba Nerone has enabled us to provide you with a racket that has everything you need to achieve excellence on the court. It features everything that has made our legend one of the best players ever. Maximum power is guaranteed by the Power Embossed Ridge and Dual Exoskeleton technologies
Adidas,adidas Adipower LEGEND Ltd 2023,2023,,,,,carbon,5949,5949,Virgin Active Padel Club,1,Virgin Active Padel Club,intermediate,,yes,https://virginactivepadelclub.co.za/products/adipower-legend-ltd-2023,The Adipower Legend is as a unique racket as the player to which it pays homage. Seba Nerone is synonymous with talent and tenacity and his exclusive racket is made to accompany the most talented and persevering padel players. The spectacular design of this racket responds to the exquisite features that it is composed of. This legendary padel racket incorporates the best technologies that allow yo
Adidas,adidas Adipower MASTER Ltd 2023,2023,,,,,,7224,7224,Virgin Active Padel Club,1,Virgin Active Padel Club,advanced,,yes,https://virginactivepadelclub.co.za/products/adipower-master-ltd-2023,"The Adipower Master is a unique racket, a limited-edition one designed to bring out the best aspects of one of the best players in the world like Martita Ortega. This unique racket features a sleek and eye-catching design in equal measure. Its resplendent appearance is the facade of a product made to dominate on court. The Adipower Master is a special limited-edition product for Martita Ortega. It"
Adidas,adidas Adipower Multiweight 3.3,,,,,EVA,18K carbon,4249,4249,Virgin Active Padel Club,1,Virgin Active Padel Club,improver,,yes,https://virginactivepadelclub.co.za/products/adidas-adipower-multiweight-3-3,Innovation continues to serve talent in the second generation of the Adipower Multiweight. This racket is designed with the needs of the best padel players in mind. The Weight & Balance System technology allows you to adapt the racket to conditions of control or attack by modifying the weights and balance. The Carbon 18K surface and Eva High Memory on the inside are an ideal combination to find th
