brand,name,year,shape,shape_source,profile,weight_g,balance,core,surface,colours,price_zar,price_high_zar,price_spread,cheapest_store,stores_count,stores,availability,level,best_for,needs_review,url,description
Adidas,2026 Adidas Metalbone Team,2026,diamond,store,power,,high,EVA,carbon,,4495,4499,4,PadelDeals,4,PadelDeals | PadelGear | PadelZone | Virgin Active Padel Club,high,improver,,,https://padeldeals.co.za/products/2026-metalbone-team,"Introducing the Adidas Metalbone Team 2026, part of the new 2026 Adidas Padel range. Built for advanced players seeking a more forgiving feel, it delivers the aggressive attacking shape of the Metalbone family combined with highly comfortable handling and effortless ball exit. Key features: Diamond Oversize shape: High balance point for superior leverage on smashes and aggressive volleys. Fibergla"
Adidas,2026 Adidas RX Series,2026,round,store,control,,,EVA,,,2995,2999,4,PadelDeals,2,PadelDeals | Virgin Active Padel Club,medium,improver,,surface,https://padeldeals.co.za/products/2026-adidas-rx-series,"Take your first steps in padel with confidence and maximum comfort. The adidas RX series padel racket is the perfect ally for learning, making every shot feel easy. Its round shape gives you the immediate control you need, allowing you to focus on technique without worrying about mistakes. Enjoy an incredibly soft feel upon impact and power output that drives the ball for you, thanks to Fiber Glas"
Adidas,Adidas Adipower Carbon Control 3.4 Padel Racket,,round,store,control,,,EVA,18K carbon,,3299,3299,0,PadelZone,1,PadelZone,low,improver,,,https://padelzone.co.za/products/adidas-adipower-carbon-control-3-4-padel-racket,"Offerring the perfect balance between control and Adipower, the Carbon Control 3.4 is a high-performance Padel Racket designed for the most demanding players. As the name suggests when it comes to control this racket is unmatched as it has been built with an 18k carbon fiber face together with the Adidas soft performance EVA core, giving the racket its durability, feel and control. All for Padel, "
Adidas,adidas Adipower Carbon CTRL,,teardrop,inferred,hybrid,,,,18K carbon,,4199,4199,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,improver,,core,https://virginactivepadelclub.co.za/products/adidas-adipower-carbon-ctrl,"The Adipower Carbon CTRL is a model that harnesses all Adipower technologies to enhance control. The Spin Blade Mold and Smart Holes Curve technologies provide an unparalleled feel for spin shots. The carbon reinforcements in the Dual Exoskeleton and the Power Embossed Ridge in key areas of the racquet enhance rigidity, ensuring performance in powerful strikes. The 18K carbon fibre guarantees clea"
Adidas,adidas Adipower Carbon Light,,teardrop,inferred,hybrid,,,,carbon,,4199,4199,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,improver,,core,https://virginactivepadelclub.co.za/products/adidas-adipower-carbon-light,"The Adipower Carbon Light is a racquet that combines the best technologies with a more agile grip, thanks to its lightweight design. The Dual Exoskeleton, featuring carbon reinforcements, and the Power Embossed Ridge in the frame enhance its rigidity for improved aggressive play. Additionally, the arrangement of the Smart Holes Curve and the 3D Spin Blade Mold texture provide optimal spin on all s"
Adidas,Adidas Adipower Carbon Light 3.4 | 2025,2025,round,store,control,,,soft EVA,3K carbon,,3799,3799,0,World of Padel,1,World of Padel,low,improver,,,https://worldofpadel.co.za/product/adidas-adipower-carbon-light-3-4-2025/,"Adidas Adipower Carbon Light 3.4 | 2025 The Adipower Carbon Light boasts a lightweight Round-shaped design that utilises cutting-edge technologies to enhance your game. With the Dual Exoskeleton and Power Embossed Ridge providing supreme rigidity through the use of carbon ribs in the core and frame, every shot packs a powerful punch. This racket also features two standout features: the 3D Spin Bla"
Adidas,Adidas Adipower Ctrl 3.3,,teardrop,inferred,hybrid,360,,soft EVA,3K carbon,,2899,2999,100,World of Padel,3,Africa Padel | Virgin Active Padel Club | World of Padel,high,improver,,,https://worldofpadel.co.za/product/adidas-adipower-ctrl-3-3/,"Adidas Adipower Ctrl 3.3 Unlock precision and control with the Adipower CTRL 3.3 Padel Racket , a pro-level racket that strikes the perfect balance between flexibility and rigidity . Designed for advanced players, this racket offers unmatched handling and skillful precision, helping you take your game to the next level. The Dual Exoskeleton enhances the rigidity of the racket’s core, while the Pow"
Adidas,adidas Adipower CTRL Multiweight 3.3,,teardrop,inferred,hybrid,,,EVA,18K carbon,,4249,4725,476,Virgin Active Padel Club,2,Africa Padel | Virgin Active Padel Club,medium,improver,,,https://virginactivepadelclub.co.za/products/adidas-adipower-ctrl-multiweight-3-3,"The Adipower Multiweight CTRL 3.3 marks a milestone in padel with its innovative technology designed for decisive players like Álex Ruiz. It incorporates the Weight & Balance System, allowing you to adjust the weight and balance to adapt to a control or attack style. The Dual Exoskeleton technology provides a double insertion of carbon ribs in the heart, while the Power Embossed Ridge reinforces t"
Adidas,adidas Adipower CTRL Multiweight 3.4,,round,store,control,,,EVA,carbon,,5849,5949,100,World of Padel,2,Virgin Active Padel Club | World of Padel,medium,intermediate,,,https://worldofpadel.co.za/product/adidas-adipower-multiweight-ctrl-3-4-padel-racket/,"The Adipower CTRL Multiweight is Álex Ruiz's racquet, meticulously designed to achieve perfection in every detail. The Weight & Balance System allows for customisation of weight and balance according to the demands of each match. The Dual Exoskeleton structure, the carbon Power Embossed Ridge in the frame, and its materials ensure the necessary rigidity to excel in aggressive play. Spin shots reac"
Adidas,adidas Adipower CTRL Multiweight PRO EDT 2025,2025,round,store,control,,,EVA,18K carbon,,8074,8074,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,advanced,,,https://virginactivepadelclub.co.za/products/adidas-adipower-ctrl-multiweight-pro-edt-2025,"The Adidas Adipower CTRL MTW Pro Edt 2025 doesn’t need to raise its voice: it imposes with elegance. It’s a reflection of those who play in silence but leave a lasting impact with every shot. Its round shape, with weight centered near the grip, provides superior control in defense. The combination of 18K carbo n and EVA High Memory rubber offers the perfect balance of firmness and sensitivity—idea"
Adidas,adidas Adipower Junior 3.3,,round,inferred,control,,,soft EVA,carbon,,999,999,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,beginner,,,https://virginactivepadelclub.co.za/products/adidas-adipower-junior-3-3,"Start to experience what it means to win with the Adipower Junior! This racket is designed to be the perfect extension of the arms of girls and boys who want to grow on the padel court. The Exoskeleton technology reinforces the heart of the racket with carbon fiber, improving durability and increasing rigidity for more powerful shots. Its composition of Eva Soft Performance and Fiber Glass provide"
Adidas,Adidas Adipower Junior 3.4,,round,store,control,,,soft EVA,carbon,,1399,1799,400,Virgin Active Padel Club,3,PadelZone | Virgin Active Padel Club | World of Padel,high,beginner,,,https://virginactivepadelclub.co.za/products/adidas-adipower-junior-3-4,"The Adipower Junior 3.4 is brought to you by Adidas specifically for our young Padel enthusiasts. Designed to be lightweight and extremely maneuverable while having ample power for those ling shots from the back of the court. This all means our juniors can have the right Padel Racket designed for them to have maximum enjoyment during their game. All for Padel, the official licensed Adidas Padel Te"
Adidas,adidas Adipower Multiweight CTRL,,round,store,control,,,EVA,15K carbon,,4799,4799,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,intermediate,,,https://virginactivepadelclub.co.za/products/adipower-multiweight-ctrl,"The ADIPOWER MULTIWEIGHT CTRL is the evolution of the Adipower range. The update of this model allows you to completely customize your racket, thanks to the WEIGHT & BALANCE SYSTEM technology . The combination of the 15K CARBON surface surface added to the the EVA High Performance memory rubber will give you tremendous power in all your shots. The SPIN BLADE technology provides great spin on every"
Adidas,"Adidas Ari Sánchez Arrow Hit Pro EDT 2026 - Customizable Power, Elite Precision",2026,diamond,store,power,360,,soft EVA,carbon,,8499,8499,0,World of Padel,1,World of Padel,low,advanced,,,https://worldofpadel.co.za/product/adidas-ari-sanchez-arrow-hit-pro-edt-2026-customizable-power-elite-precision/,"Unleash your inner champion with the Adidas Ari Sánchez Arrow Hit Pro EDT 2026—a high-performance, special-edition racket built for advanced players craving explosive power, pinpoint precision, and tailor-made control. Crafted around a dynamic diamond-shaped frame and infused with cutting-edge technologies, this racket transforms every swing into a statement of dominance. The ASC Signature Carbon "
Adidas,adidas Arrow Hit,2026,diamond,store,power,375,high,EVA,carbon,,5999,8499,2500,The Padel Market,3,PadelGear | The Padel Market | Virgin Active Padel Club,high,intermediate,,,https://thepadelmarket.co.za/products/arrow-hit-2026,"Choose how to control the game with the adidas Arrow Hit 2026. The Intelligent Balance System lets you adjust the racket’s weight and balance to suit your style and strategy, easily modifying the lateral weights during play. Its Diamond shape, combined with a reinforced frame, delivers rapid acceleration and amplified power on offensive shots, allowing you to hit precise, sharp attacks that keep y"
Adidas,Adidas Arrow HIT Attack 2026 Padel Racket,2026,diamond,store,power,,,EVA,carbon,,7999,7999,0,PadelZone,1,PadelZone,low,advanced,,,https://padelzone.co.za/products/adidas-arrow-hit-attk-2026-padel-racket,"The latest addition to the Adidas family is the all new Arrow HIT Attack 2026, the ultimate power weapon for aggressive attacking play. Featuring a balanced diamond shape and revolutionary Intelligent Balance System, this intensive Padel Racket combines the ASC signature interwoven carbon face with a Soft Performance EVA for devastating power in attack shots, making it perfect for advanced Padel p"
Adidas,adidas Arrow Hit Carbon,2026,diamond,store,power,,,EVA,carbon,,5995,5999,4,PadelDeals,2,PadelDeals | Virgin Active Padel Club,medium,intermediate,,,https://padeldeals.co.za/products/2026-adidas-arrow-hit-carbon,"Play with confidence in every situation with the adidas Arrow Hit Carbon 2026. Its carbon construction combines Muscle Power System, Structural Reinforcement, and Power Groove to deliver firmness, torsion resistance, and a responsive feel that enhances powerful, precise shots. The ASC Carbon Fiber surface provides defined feedback and control during high-intensity moments, while Soft Performance E"
Adidas,Adidas Arrow HIT Carbon Attack 2026 Padel Racket,2026,diamond,store,power,,,EVA,3K carbon,,4299,4299,0,PadelZone,1,PadelZone,low,improver,,,https://padelzone.co.za/products/adidas-arrow-hit-carbon-attk-2026-padel-racket,"As part of the brand new Adidas Arrow HIT range, the Carbon Attack 2026is a premium carbon power weapon for devastating attacking play. Featuring a diamond shape and 3k carbon fibre construction, this intensive Padel Racket combines ASC interwoven carbon face with Soft Performance EVA for maximum power in attack shots, making it perfect for Padel players seeking uncompromising aggression. Arrow re"
Adidas,adidas Arrow Hit Carbon CTRL,2026,round,store,control,360,,EVA,carbon,,4299,5999,1700,PadelZone,4,PadelDeals | PadelZone | The Padel Market | Virgin Active Padel Club,high,intermediate,,,https://padelzone.co.za/products/adidas-arrow-hit-carbon-ctrl-2026-padel-racket,"Every shot with purpose. The adidas Arrow Hit Carbon CTRL 2026 racket brings extra stability to your control-focused game, delivering the accuracy you need to dictate the rally with confidence. Its reinforced structure and ASC Carbon Fiber surface produce a firm, reactive feel that keeps your trajectory clean and fully under control. Spin Blade Decal adds precision to sliced, lifted and angled sho"
Adidas,Adidas Arrow HIT Carbon Hexagon Cup,,diamond,store,power,,,EVA,carbon,,4999,4999,0,PadelZone,1,PadelZone,low,intermediate,,,https://padelzone.co.za/products/adidas-arrow-hit-carbon-hexagon-cup-padel-racket,"Introducing the all new Adidas Arrow HIT Hexagon Cup, designed for advanced players seeking optimised stability and explosive potential. Featuring a diamond shape with head-heavy balance and revolutionary ASC Carbon Fibre face, this powerful Padel Racket combines Soft Performance EVA core with Muscle Power System and Structural Reinforcement for professional-level attacking play with firmness, tor"
Adidas,adidas Arrow Hit CTRL,2026,round,store,control,360,,EVA,carbon,,4999,8499,3500,The Padel Market,4,PadelDeals | PadelZone | The Padel Market | Virgin Active Padel Club,high,advanced,,,https://thepadelmarket.co.za/products/arrow-hit-ctrl-2026,"Confidence comes from control with the adidas Arrow Hit CTRL 2026. The Intelligent Balance System lets you instantly adjust weight and balance, tailoring the racket to your pace and strategy for precise play on every point. Its reinforced structure, combining ASC Carbon Fiber, Structural Reinforcement, and Muscle Power System, delivers a stable and responsive feel, increasing torsion resistance an"
Adidas,adidas Arrow Hit Hexagon Cup Padel Racket,,diamond,store,power,,,EVA,carbon,,6499,6499,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,intermediate,,,https://virginactivepadelclub.co.za/products/adidas-arrow-hit-hexagon-cup-padel-racket,"Play with confidence in every situation with the adidas Arrow Hit Hexagon Cup. Its carbon construction combines Muscle Power System, Structural Reinforcement, and Power Groove to deliver firmness, torsion resistance, and a responsive feel that enhances powerful, precise shots. The ASC Carbon Fiber surface provides defined feedback and control during high-intensity moments, while Soft Performance E"
Adidas,adidas Arrow Hit Junior - Blue,2026,round,store,control,,,EVA,fibreglass,"Blue, Pink",1799,1999,200,PadelZone,2,PadelZone | Virgin Active Padel Club,medium,beginner,,,https://padelzone.co.za/products/adidas-arrow-hit-junior-2026-padel-racket,"Young players need a racket that combines learning and performance, and the adidas Arrow Hit Junior 2026 delivers both. Its lightweight design allows quick movements and fluid strokes, while the Soft Performance EVA core provides comfort and control on every shot. The Exoskeleton structure, together with Structural Reinforcement, increases stiffness and torsion resistance, ensuring stability and p"
Adidas,adidas Arrow HIT Light,,diamond,store,power,,,EVA,,,6499,6499,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,intermediate,,surface,https://virginactivepadelclub.co.za/products/adidas-arrow-hit-light,"Choose how you want to dominate the game with the adidas Arrow Hit Light Ari Sánchez. Its Diamond shape, combined with a reinforced structure, provides rapid acceleration and amplified power on offensive shots, allowing you to execute crisp, precise attacks that put pressure on your opponent at every point. The 3D Spin Blade enhances accuracy on topspin and backspin shots, whilst the Extra Power G"
Adidas,Adidas Arrow HIT Pro Edition | 2026,2026,diamond,store,power,,,foam,carbon,,8995,8995,0,PadelGear,1,PadelGear,low,advanced,,,https://www.padelgear.co.za/products/adidas-arrow-hit-padel-racket-2026-copy,"Strike with lethal precision and explosive speed. The Adidas Arrow HIT 2026 Pro Edition is engineered for advanced, aggressive players who want to completely dominate the net. Designed for lightning-fast maneuverability without sacrificing attacking weight, this racket allows you to hit through the ball with devastating power and pinpoint accuracy. Built with premium carbon materials and top-tier "
Adidas,Adidas Arrow Hit Pro EDT 2026 Padel Racket - Limited Edition,2026,diamond,store,power,345,,soft EVA,carbon,,8499,8499,0,The Padel Market,1,The Padel Market,low,advanced,,,https://thepadelmarket.co.za/products/adidas-arrow-hit-pro-edt-2026-padel-racket-limited-edition,Adidas Arrow Hit Pro EDT 2026 - Limited Edition. diamond power racket from The Padel Market. The Padel Market Playing Profile Diamond · Power · Advanced Power Very high Control Low Comfort Low Manoeuvrability Medium Shape Diamond Weight 345-360g Face ASC Signature Core EVA Soft Balance High Level Advanced Description The Adidas Arrow Hit Pro EDT 2026 is a diamond-shaped power racket from Adidas' A
Adidas,Adidas Arrow HIT PRO-EDT 2026 - Ari Sanchez,2026,round,store,control,,,soft EVA,carbon,,9299,9499,200,Virgin Active Padel Club,2,PadelZone | Virgin Active Padel Club,medium,advanced,,,https://virginactivepadelclub.co.za/products/adidas-arrow-hit-pro-edt-2026-ari-sanchez,"The Adidas Arrow HIT PRO-EDT 2026 Padel Racket is a limited-edition control racket inspired by Ari Sánchez and built for players who want precision without losing attacking intent. Its diamond format, centred sweet spot and even balance give competitive players a stable platform for shaping points with confidence. Adidas introduces the Arrow HIT family as a fresh performance line alongside Metalbo"
Adidas,Adidas Cross IT 3.4,2025,diamond,store,power,345,high,soft EVA,15K carbon,,3599,5249,1650,World of Padel,3,PadelDeals | Virgin Active Padel Club | World of Padel,high,improver,,,https://worldofpadel.co.za/product/adidas-cross-it-3-4/,"The 2025 Adidas Cross It 3.4 returns as a top choice for players seeking the perfect balance of power, control, and maneuverability. Built with 15K aluminized carbon for exceptional stiffness and durability, and a high-density EVA rubber core for a precise and powerful ball output, this racket ensures elite-level performance. Featuring Dynamic Air Flow technology for improved aerodynamics and a Sp"
Adidas,adidas Cross It Carbon - Maxi Arce,,diamond,store,power,360,,soft EVA,carbon,,5099,5499,400,Virgin Active Padel Club,2,PadelZone | Virgin Active Padel Club,medium,intermediate,,,https://virginactivepadelclub.co.za/products/adidas-cross-it-carbon-maxi-arce,"The Cross It Carbon is one of the great new additions to the adidas collection for 2025, developed together with Maxi Arce for those who prioritise control without sacrificing power. It incorporates technologies such as Dynamic Air Flow, which improves swing speed, Power Extra Grip for a more powerful swing, and 11 Thirteen for greater stiffness and durability. The Spin Blade Mould texture optimis"
Adidas,Adidas Cross It Carbon Control,,round,store,control,360,,EVA,carbon,,4495,4495,0,World of Padel,1,World of Padel,low,improver,,,https://worldofpadel.co.za/product/adidas-cross-it-carbon-control/,"Adidas Cross It Carbon Control Make your mark with the all new, futuristic Cross IT Carbon Control Padel Racket. A majot innovation by Adidas this season and meticulously designed for players prioritising control. Made with a 6k carbon fiber face and soft performance EVA core this Padel Racket provides a unique performance. All for Padel, the official manufacturers for Adidas Padel, have become kn"
Adidas,adidas Cross IT Carbon CTRL,2026,round,store,control,,,soft EVA,carbon,,4199,5999,1800,Virgin Active Padel Club,3,PadelDeals | PadelZone | Virgin Active Padel Club,high,intermediate,,,https://virginactivepadelclub.co.za/products/adidas-cross-it-carbon-ctrl,"The Cross It Carbon CTRL is one of adidas's major innovations for 2025. This new model brings together the best features of the Cross It range in a unique design. With a focus on control, it incorporates the most prestigious technologies, including Dynamic Air Flow, Power Extra Grip, and the 11 Thirteen hole arrangement. Made from 6K carbon fibre and EVA Soft Performance foam, it offers perfect ba"
Adidas,Adidas Cross It Control 3.4,2025,round,store,control,360,,EVA,carbon,,4495,4895,400,PadelDeals,2,PadelDeals | World of Padel,medium,improver,,,https://padeldeals.co.za/products/2025-adidas-cross-it-control-3-4,"Designed for precision and control, the Adidas Cross IT CTRL 3.4 features cutting-edge technology to elevate your game. The Dynamic Air Flow system enhances aerodynamics, while the Power Extra Grip handle provides extended leverage for improved shot execution. Its unique 11 Thirteen hole pattern optimizes power distribution, and the Spin Blade Mold 3D texture ensures exceptional spin on every shot"
Adidas,Adidas Cross It Ctrl,2026,round,store,control,,,EVA,15K carbon,,3225,7499,4274,Africa Padel,4,Africa Padel | PadelDeals | PadelZone | Virgin Active Padel Club,high,advanced,,,https://africapadelshop.com/products/adidas-cross-it-ctrl-2024,"Control reaches new dimensions with the new Adidas Cross It Control. This racket is meticulously designed to optimizes airflow, minimising resistance during shots, and elevating overall performance on the court. The surface of the racket is made of Carbon Aluminised Fibre 15K which features braided Carbon Fibre filaments that provide more flexibility and rigidity. With its High density EVA rubber,"
Adidas,adidas Cross IT CTRL 3.4,,round,inferred,control,,,,,,5249,5249,0,Virgin Active Padel Club,1,Virgin Active Padel Club,low,intermediate,,"core,surface",https://virginactivepadelclub.co.za/products/adidas-cross-it-ctrl-3-4,"The Cross It CTRL 3.4 utilises all the technologies from this renowned adidas range to enhance control. The aerodynamic improvement from Dynamic Air Flow, the extended Power Extra Grip handle, and the 11 Thirteen hole arrangement make this racquet truly unique. Additionally, the Spin Blade Mold, a 3D texture on the racquet’s surface, ensures optimal spin shots."
Adidas,Adidas Cross It Light 3.4,,round,store,control,345,,EVA,carbon,,3999,4549,550,PadelZone,3,PadelZone | Virgin Active Padel Club | World of Padel,high,improver,,,https://padelzone.co.za/products/adidas-cross-it-light-3-4-padel-racket,"Produced by Adidas for Marta Ortega, the Cross IT Light 3.4 combines lightweight agility with cutting-edge technology, giving you the ultimate in versatility. Made with an impressive 24k aluminised carbon face and a soft energy core, this Padel Racket has that added power needed during your toughest games. All for Padel, the official manufacturers for Adidas Padel, have become known for producing "
Adidas,Adidas Cross It Light Pro EDT 2026 Padel Racket - Limited Edition,2026,round,store,control,345,,soft EVA,carbon,,6499,6499,0,The Padel Market,1,The Padel Market,low,intermediate,,,https://thepadelmarket.co.za/products/adidas-cross-it-light-pro-edt-2026-padel-racket-limited-edition,Adidas Cross It Light Pro EDT 2026 - Limited Edition. lightweight control racket from The Padel Market. The Padel Market Playing Profile Round · Control · Advanced Power Medium Control Very high Comfort Very high Manoeuvrability Very high Shape Round Weight 345-360g Face Carbon Aluminized Core EVA Soft Balance Medium Level Advanced Description The Adidas Cross It Light Pro EDT 2026 is a lightweigh
Adidas,Adidas Cross IT Light PRO-EDT 2026 - Marta Ortega,2026,round,store,control,345,medium,soft EVA,carbon,,6499,7499,0,World of Padel,2,PadelZone | World of Padel,medium,intermediate,,,https://worldofpadel.co.za/product/adidas-cross-it-light-pro-edt-2026-marta-ortega/,"Discover the power, precision and poise of the Adidas Cross IT Light PRO-EDT 2026 Marta Ortega edition—an exclusive padel racket engineered for players who demand speed, control and a signature touch. Inspired by world-class star Marta Ortega, this limited-edition model fuses cutting-edge technology with a sleek blue design that commands attention on and off the court. At just 345–360 grams and fe"
